Implementation,Size,Distribution,Threads,BlockSize,AvgTime(ms)
Serial,1000000,uniform,1,256,95.0133
Serial,4000000,uniform,1,256,350.4731
Serial,16000000,uniform,1,256,1702.5582
Serial,64000000,uniform,1,256,7148.5895
Serial,1000000,gaussian,1,256,79.8319
Serial,4000000,gaussian,1,256,358.4556
Serial,16000000,gaussian,1,256,1565.3351
Serial,64000000,gaussian,1,256,6364.3668
Serial,1000000,nearly_sorted,1,256,12.2804
Serial,4000000,nearly_sorted,1,256,73.9495
Serial,16000000,nearly_sorted,1,256,394.3067
Serial,64000000,nearly_sorted,1,256,1119.6289
Serial,1000000,reversed,1,256,7.6817
Serial,4000000,reversed,1,256,38.4690
Serial,16000000,reversed,1,256,164.8489
Serial,64000000,reversed,1,256,860.1496
Serial,1000000,uniform,1,256,70.0631
Serial,4000000,uniform,1,256,298.8840
Serial,16000000,uniform,1,256,1385.5505
Serial,64000000,uniform,1,256,5797.7819
Serial,1000000,gaussian,1,256,65.6279
Serial,4000000,gaussian,1,256,307.2220
Serial,16000000,gaussian,1,256,1335.7791
Serial,64000000,gaussian,1,256,5621.3871
Serial,1000000,nearly_sorted,1,256,17.7979
Serial,4000000,nearly_sorted,1,256,82.7869
Serial,16000000,nearly_sorted,1,256,370.9457
Serial,64000000,nearly_sorted,1,256,1578.6628
Serial,1000000,reversed,1,256,12.9328
Serial,4000000,reversed,1,256,61.5712
Serial,16000000,reversed,1,256,292.0372
Serial,64000000,reversed,1,256,1186.7287
OpenMP,1000000,uniform,1,256,86.0994
OpenMP,1000000,uniform,2,256,58.9264
OpenMP,1000000,uniform,4,256,63.0974
OpenMP,1000000,uniform,8,256,59.5041
OpenMP,1000000,uniform,16,256,63.8577
OpenMP,4000000,uniform,1,256,389.2234
OpenMP,4000000,uniform,2,256,268.3581
OpenMP,4000000,uniform,4,256,427.3406
OpenMP,4000000,uniform,8,256,289.4912
OpenMP,4000000,uniform,16,256,268.6165
OpenMP,16000000,uniform,1,256,1835.8185
OpenMP,16000000,uniform,2,256,1187.2503
OpenMP,16000000,uniform,4,256,1318.9306
OpenMP,16000000,uniform,8,256,1405.7072
OpenMP,16000000,uniform,16,256,1192.2524
OpenMP,64000000,uniform,1,256,7887.4169
OpenMP,64000000,uniform,2,256,5559.7988
OpenMP,64000000,uniform,4,256,5713.8480
OpenMP,64000000,uniform,8,256,5786.5357
OpenMP,64000000,uniform,16,256,5679.1806
OpenMP,1000000,gaussian,1,256,112.7593
OpenMP,1000000,gaussian,2,256,96.8191
OpenMP,1000000,gaussian,4,256,92.7559
OpenMP,1000000,gaussian,8,256,60.2136
OpenMP,1000000,gaussian,16,256,63.3992
OpenMP,4000000,gaussian,1,256,386.9021
OpenMP,4000000,gaussian,2,256,269.4180
OpenMP,4000000,gaussian,4,256,272.3980
OpenMP,4000000,gaussian,8,256,264.4991
OpenMP,4000000,gaussian,16,256,348.6150
OpenMP,16000000,gaussian,1,256,1710.9501
OpenMP,16000000,gaussian,2,256,1243.4860
OpenMP,16000000,gaussian,4,256,1408.9468
OpenMP,16000000,gaussian,8,256,1183.2935
OpenMP,16000000,gaussian,16,256,1291.9322
OpenMP,64000000,gaussian,1,256,7553.3037
OpenMP,64000000,gaussian,2,256,5348.0907
OpenMP,64000000,gaussian,4,256,5533.7081
OpenMP,64000000,gaussian,8,256,5397.7851
OpenMP,64000000,gaussian,16,256,5375.3541
OpenMP,1000000,nearly_sorted,1,256,41.8998
OpenMP,1000000,nearly_sorted,2,256,32.8507
OpenMP,1000000,nearly_sorted,4,256,31.6520
OpenMP,1000000,nearly_sorted,8,256,31.8879
OpenMP,1000000,nearly_sorted,16,256,31.7243
OpenMP,4000000,nearly_sorted,1,256,171.2930
OpenMP,4000000,nearly_sorted,2,256,145.7302
OpenMP,4000000,nearly_sorted,4,256,137.1373
OpenMP,4000000,nearly_sorted,8,256,137.2626
OpenMP,4000000,nearly_sorted,16,256,136.2962
OpenMP,16000000,nearly_sorted,1,256,825.5398
OpenMP,16000000,nearly_sorted,2,256,686.6780
OpenMP,16000000,nearly_sorted,4,256,621.7683
OpenMP,16000000,nearly_sorted,8,256,616.8341
OpenMP,16000000,nearly_sorted,16,256,835.7524
OpenMP,64000000,nearly_sorted,1,256,3377.6442
OpenMP,64000000,nearly_sorted,2,256,2939.5560
OpenMP,64000000,nearly_sorted,4,256,2818.8908
OpenMP,64000000,nearly_sorted,8,256,2815.9597
OpenMP,64000000,nearly_sorted,16,256,2879.8765
OpenMP,1000000,reversed,1,256,10.6556
OpenMP,1000000,reversed,2,256,10.4670
OpenMP,1000000,reversed,4,256,10.1368
OpenMP,1000000,reversed,8,256,10.3837
OpenMP,1000000,reversed,16,256,10.8608
OpenMP,4000000,reversed,1,256,55.4120
OpenMP,4000000,reversed,2,256,50.3534
OpenMP,4000000,reversed,4,256,49.7822
OpenMP,4000000,reversed,8,256,53.2513
OpenMP,4000000,reversed,16,256,84.8006
OpenMP,16000000,reversed,1,256,395.0840
OpenMP,16000000,reversed,2,256,267.3634
OpenMP,16000000,reversed,4,256,270.3718
OpenMP,16000000,reversed,8,256,270.9940
OpenMP,16000000,reversed,16,256,280.1250
OpenMP,64000000,reversed,1,256,1483.4028
OpenMP,64000000,reversed,2,256,1342.6980
OpenMP,64000000,reversed,4,256,1239.2340
OpenMP,64000000,reversed,8,256,1464.4806
OpenMP,64000000,reversed,16,256,1339.1636
OpenMP,1000000,uniform,1,256,55.7777
OpenMP,1000000,uniform,2,256,28.9247
OpenMP,1000000,uniform,4,256,23.8347
OpenMP,1000000,uniform,8,256,16.9652
